"marker","pct","Composer","direction","rank","AriaId","AriaName","AriaOpera","value","mean_galuppi","mean_perez","mean_jommelli","mean_hasse"
"Harmony_Chord_IV_Per",-4.56321907331708,"Baldassare Galuppi","high",1,515,"Fosca_nube","Did",0.169811320754717,0.0878873599275185,0.0740730711403317,0.0995550333645312,0.0825254510574882
"Harmony_Chord_IV_Per",-4.56321907331708,"Baldassare Galuppi","high",2,2035,"Cosi_stupisce","Art",0.168674698795181,0.0878873599275185,0.0740730711403317,0.0995550333645312,0.0825254510574882
"Harmony_Chord_IV_Per",-4.56321907331708,"Baldassare Galuppi","high",3,771,"La_face","Did",0.157894736842105,0.0878873599275185,0.0740730711403317,0.0995550333645312,0.0825254510574882
"Harmony_Chord_IV_Per",-4.56321907331708,"Davide Perez","low",1,1349,"O_sugli","Ale",0.0047169811320754,0.0878873599275185,0.0740730711403317,0.0995550333645312,0.0825254510574882
"Harmony_Chord_IV_Per",-4.56321907331708,"Davide Perez","low",2,1941,"Mi_scacci","Art",0.0111731843575419,0.0878873599275185,0.0740730711403317,0.0995550333645312,0.0825254510574882
"Harmony_Chord_IV_Per",-4.56321907331708,"Davide Perez","low",3,1989,"Non_e","Art",0.0125,0.0878873599275185,0.0740730711403317,0.0995550333645312,0.0825254510574882
"Harmony_Chord_IV_Per",-4.56321907331708,"Niccolò Jommelli","high",1,919,"Per_lei","Dem",0.205479452054795,0.0878873599275185,0.0740730711403317,0.0995550333645312,0.0825254510574882
"Harmony_Chord_IV_Per",-4.56321907331708,"Niccolò Jommelli","high",2,2085,"Va_tra","Art",0.204819277108434,0.0878873599275185,0.0740730711403317,0.0995550333645312,0.0825254510574882
"Harmony_Chord_IV_Per",-4.56321907331708,"Niccolò Jommelli","high",3,922,"Sperai_vicino","Dem",0.181372549019608,0.0878873599275185,0.0740730711403317,0.0995550333645312,0.0825254510574882
"Harmony_Chord_IV_Per",-4.56321907331708,"Johann Adolph Hasse","high",1,733,"Generoso_resvegliarti","Ale",0.201550387596899,0.0878873599275185,0.0740730711403317,0.0995550333645312,0.0825254510574882
