"AriaId","Composer","n_labels","n_tonic","tonic_root","tonic_first","tonic_second"
"2758","Davide Perez",180,79,68,11,0
"2759","Davide Perez",218,86,77,8,1
"2761","Davide Perez",162,55,40,13,2
"2760","Davide Perez",274,111,81,29,1
"2762","Davide Perez",207,79,74,5,0
"2763","Davide Perez",212,86,69,15,2
"2764","Davide Perez",194,66,46,15,5
"2765","Davide Perez",204,80,63,16,1
"2766","Davide Perez",194,60,50,5,5
"2767","Davide Perez",211,87,63,24,0
"2768","Davide Perez",250,110,87,20,3
"2769","Davide Perez",151,63,37,18,8
"2770","Davide Perez",237,102,89,9,4
"2771","Davide Perez",229,91,66,17,8
"2772","Davide Perez",239,90,50,36,4
"2773","Davide Perez",262,99,67,16,16
"2774","Davide Perez",193,75,57,14,4
"2775","Davide Perez",193,73,45,22,6
"2776","Davide Perez",216,88,51,32,5
"2777","Davide Perez",222,85,69,8,8
"2778","Davide Perez",234,87,72,11,4
"1262","Baldassare Galuppi",155,59,45,13,0
"1341","Davide Perez",207,88,56,32,0
"1053","Davide Perez",238,93,61,22,10
"0668","Baldassare Galuppi",187,66,55,11,0
"1263","Baldassare Galuppi",268,99,59,38,2
"1342","Davide Perez",201,87,65,19,3
"1054","Davide Perez",217,81,43,25,13
"0669","Baldassare Galuppi",294,127,90,34,3
"0690","Davide Perez",218,90,55,29,6
"1266","Baldassare Galuppi",295,104,67,29,8
"1343","Davide Perez",309,124,95,27,2
"1055","Davide Perez",174,69,54,12,3
"0670","Baldassare Galuppi",262,93,57,34,2
"0691","Davide Perez",201,81,59,17,4
"1267","Baldassare Galuppi",285,92,61,30,1
"1344","Davide Perez",274,98,78,19,1
"1056","Davide Perez",292,112,84,25,3
"0671","Baldassare Galuppi",248,80,60,20,0
"0692","Davide Perez",224,88,68,16,4
"1349","Davide Perez",206,86,65,21,0
"1057","Davide Perez",211,75,64,11,0
"0672","Baldassare Galuppi",241,82,69,13,0
"0693","Davide Perez",252,107,77,19,11
"1278","Baldassare Galuppi",396,157,99,52,5
"1369","Davide Perez",193,85,70,11,4
"0678","Baldassare Galuppi",361,136,93,42,1
"0697","Davide Perez",343,149,96,30,22
"1274","Baldassare Galuppi",163,54,36,17,1
"1350","Davide Perez",25,13,10,2,1
"1058","Davide Perez",42,16,14,2,0
"0673","Baldassare Galuppi",97,41,32,9,0
"0694","Davide Perez",68,31,24,5,2
"1275","Baldassare Galuppi",337,131,79,51,1
"1368","Davide Perez",153,60,48,11,1
"1059","Davide Perez",190,82,57,23,2
"0674","Baldassare Galuppi",379,166,115,50,1
"0695","Davide Perez",314,130,101,10,19
"1276","Baldassare Galuppi",283,104,74,27,3
"1351","Davide Perez",206,84,68,15,1
"1060","Davide Perez",230,94,67,26,1
"1061","Davide Perez",222,77,61,14,2
"0675","Baldassare Galuppi",265,101,81,18,2
"1062","Davide Perez",254,111,73,34,1
"1277","Baldassare Galuppi",285,107,73,31,3
"1370","Davide Perez",248,97,71,26,0
"1063","Davide Perez",286,96,66,29,1
"0696","Davide Perez",234,90,64,18,8
"1065","Davide Perez",204,88,55,32,1
"1066","Davide Perez",253,105,87,17,1
"1067","Davide Perez",230,85,58,19,8
"1268","Baldassare Galuppi",304,109,61,37,11
"1371","Davide Perez",200,86,48,32,6
"1064","Davide Perez",263,110,62,44,4
"0677","Baldassare Galuppi",282,104,57,44,3
"0680","Baldassare Galuppi",249,100,58,37,2
"1239",NA,356,133,82,42,7
"0698","Davide Perez",204,73,56,12,5
"1372","Davide Perez",235,84,52,29,3
"1279","Baldassare Galuppi",213,86,57,24,5
"1373","Davide Perez",225,97,59,32,6
"0682","Baldassare Galuppi",262,92,63,28,0
"0709","Davide Perez",256,109,79,29,1
"1280","Baldassare Galuppi",280,109,68,39,2
"1374","Davide Perez",168,68,39,21,8
"0683","Baldassare Galuppi",239,90,47,37,6
"0710","Davide Perez",187,76,52,9,15
"1375","Davide Perez",243,98,78,19,1
"0700","Baldassare Galuppi",274,100,68,27,5
"1376","Davide Perez",291,119,78,37,4
"0711","Davide Perez",274,123,79,19,25
"1377","Davide Perez",339,149,95,53,1
"0712","Davide Perez",255,104,76,26,2
"1281","Baldassare Galuppi",196,74,39,34,1
"1378","Davide Perez",207,92,69,22,1
"0713","Davide Perez",234,95,72,22,1
"1282","Baldassare Galuppi",260,99,49,38,12
"1379","Davide Perez",201,73,55,12,6
"0714","Davide Perez",264,106,81,23,2
"1380","Davide Perez",203,86,71,10,5
"0702","Baldassare Galuppi",295,107,75,32,0
"0715","Davide Perez",294,105,82,21,2
"1381","Davide Perez",197,87,58,25,4
"0703","Baldassare Galuppi",241,92,55,28,9
"0719","Davide Perez",305,115,93,16,6
"1283","Baldassare Galuppi",169,63,31,27,4
"0704","Baldassare Galuppi",174,63,38,23,2
"0716","Davide Perez",258,120,67,36,17
"1284","Baldassare Galuppi",207,80,35,30,3
"1382","Davide Perez",189,66,47,2,17
"1068","Davide Perez",259,111,67,30,14
"0705","Baldassare Galuppi",209,77,34,30,2
"0717","Davide Perez",190,79,51,23,5
"0706","Baldassare Galuppi",219,85,65,19,1
"1383","Davide Perez",229,100,82,18,0
"1069","Davide Perez",267,115,76,38,1
"0699","Davide Perez",233,94,59,19,16
"1285","Baldassare Galuppi",278,107,82,20,5
"1384","Davide Perez",157,64,59,4,1
"1070","Davide Perez",162,70,63,6,1
"0707","Baldassare Galuppi",234,83,60,21,2
"0718","Davide Perez",285,121,96,19,6
"1385","Davide Perez",123,47,31,16,0
"1071","Davide Perez",60,29,23,6,0
"0708","Baldassare Galuppi",68,23,13,10,0
"0701","Baldassare Galuppi",269,101,52,42,7
"0676","Baldassare Galuppi",246,108,87,21,0
"0679","Baldassare Galuppi",115,41,32,9,0
"0681","Baldassare Galuppi",228,68,50,18,0
"1714","Baldassare Galuppi",245,79,52,26,0
"1721","Davide Perez",189,68,49,18,1
"2496","Baldassare Galuppi",196,76,48,25,3
"2009","Baldassare Galuppi",144,51,29,19,3
"1939","Davide Perez",192,71,59,10,2
"2359","Baldassare Galuppi",180,58,37,20,1
"2023","Baldassare Galuppi",182,65,41,22,2
"1935","Davide Perez",130,48,31,17,0
"1716","Baldassare Galuppi",173,56,36,20,0
"1722","Davide Perez",238,95,60,30,3
"2018","Baldassare Galuppi",220,78,48,23,5
"1936","Davide Perez",179,69,58,10,1
"2020","Baldassare Galuppi",234,82,58,21,3
"1940","Davide Perez",206,82,54,25,3
"1934","Davide Perez",146,59,39,13,7
"1943","Davide Perez",183,79,49,14,16
"1937","Davide Perez",130,52,31,18,3
"1933","Davide Perez",154,66,51,13,2
"1942","Davide Perez",236,80,57,17,6
"2017","Baldassare Galuppi",211,77,55,19,3
"1941","Davide Perez",167,68,50,11,7
"2013","Baldassare Galuppi",165,57,42,12,3
"2014","Baldassare Galuppi",186,74,51,19,4
"1938","Davide Perez",222,90,69,15,5
"1947","Davide Perez",269,120,76,36,8
"2019","Baldassare Galuppi",200,80,49,26,5
"1944","Davide Perez",194,70,55,15,0
"2021","Baldassare Galuppi",242,79,51,26,2
"1945","Davide Perez",160,54,33,14,7
"2024","Baldassare Galuppi",222,85,63,17,5
"1961","Davide Perez",204,91,57,26,8
"2026","Baldassare Galuppi",272,104,73,31,0
"1956","Davide Perez",183,92,78,9,5
"2035","Baldassare Galuppi",161,59,41,18,0
"1965","Davide Perez",197,76,47,19,10
"2043","Baldassare Galuppi",54,16,11,3,2
"1963","Davide Perez",73,30,22,8,0
"2030","Baldassare Galuppi",227,86,55,24,7
"2031","Baldassare Galuppi",210,82,62,20,0
"1968","Davide Perez",218,96,60,33,2
"1978","Davide Perez",190,90,69,21,0
"2038","Baldassare Galuppi",139,55,30,22,3
"1985","Davide Perez",143,55,41,9,4
"2054","Baldassare Galuppi",206,80,55,24,1
"1981","Davide Perez",229,83,53,27,3
"2361","Baldassare Galuppi",213,69,45,20,4
"1989","Davide Perez",158,77,53,23,1
"2362","Baldassare Galuppi",249,88,54,29,5
"2050","Baldassare Galuppi",290,95,60,27,5
"1994","Davide Perez",175,70,58,6,6
"2488","Baldassare Galuppi",284,100,61,33,4
"2370","Baldassare Galuppi",191,70,46,20,4
"0775","Davide Perez",206,75,61,13,1
"1168","Baldassare Galuppi",253,94,63,28,3
"0776","Davide Perez",225,95,75,16,4
"1207","Baldassare Galuppi",282,100,62,34,3
"0777","Davide Perez",212,89,56,22,11
"1208","Baldassare Galuppi",404,158,96,58,4
"1241",NA,148,58,40,14,4
"0779","Davide Perez",188,74,51,14,9
"1261","Baldassare Galuppi",240,95,61,34,0
"0780","Davide Perez",70,24,15,6,3
"1209","Baldassare Galuppi",233,79,58,21,0
"0781","Davide Perez",206,83,63,19,0
