AriaId,Composer,n_viola_over_bass,n_doubled,n_viola_over_rest,doubling_share
0012,Johann Adolph Hasse,448,326,4,0.7276785714285714
0013,Johann Adolph Hasse,471,282,9,0.5987261146496815
0017,Davide Perez,413,316,2,0.7651331719128329
0022,Johann Adolph Hasse,331,221,2,0.6676737160120846
0033,Davide Perez,922,605,0,0.6561822125813449
0034,Davide Perez,282,228,0,0.8085106382978723
0083,Johann Adolph Hasse,280,149,1,0.5321428571428571
0088,Gennaro Manna,322,173,16,0.5372670807453416
0089,Baldassare Galuppi,369,256,2,0.6937669376693767
0093,Davide Perez,487,410,0,0.8418891170431212
0096,Johann Adolph Hasse,357,220,4,0.6162464985994398
0101,Johann Adolph Hasse,473,209,2,0.4418604651162791
0105,Davide Perez,451,394,1,0.8736141906873615
0109,Baldassare Galuppi,768,621,96,0.80859375
0110,Baldassare Galuppi,437,324,0,0.7414187643020596
0113,Johann Adolph Hasse,255,128,0,0.5019607843137255
0114,Gennaro Manna,373,272,0,0.7292225201072386
0115,Davide Perez,313,245,7,0.7827476038338658
0117,Baldassare Galuppi,260,260,0,1.0
0118,Johann Adolph Hasse,290,144,2,0.496551724137931
0123,Johann Adolph Hasse,349,301,0,0.8624641833810889
0129,Davide Perez,675,556,0,0.8237037037037037
0130,Baldassare Galuppi,486,471,0,0.9691358024691358
0147,Johann Adolph Hasse,614,401,0,0.6530944625407166
0148,Johann Adolph Hasse,315,156,6,0.49523809523809526
0151,Johann Adolph Hasse,313,187,0,0.597444089456869
0186,Johann Adolph Hasse,314,148,19,0.4713375796178344
0187,Johann Adolph Hasse,623,387,0,0.6211878009630819
0188,Johann Adolph Hasse,503,195,0,0.38767395626242546
0189,Johann Adolph Hasse,509,267,4,0.5245579567779961
0190,Johann Adolph Hasse,513,416,4,0.8109161793372319
0191,Johann Adolph Hasse,247,165,112,0.6680161943319838
0192,Johann Adolph Hasse,335,156,1,0.46567164179104475
0193,Johann Adolph Hasse,274,165,0,0.6021897810218978
0194,Johann Adolph Hasse,517,369,7,0.7137330754352031
0195,Johann Adolph Hasse,662,502,0,0.7583081570996979
0196,Johann Adolph Hasse,332,259,1,0.7801204819277109
0197,Johann Adolph Hasse,217,118,0,0.543778801843318
0212,Johann Adolph Hasse,406,345,0,0.8497536945812808
0213,Johann Adolph Hasse,505,302,10,0.598019801980198
0229,Johann Adolph Hasse,342,103,1,0.30116959064327486
0231,Johann Adolph Hasse,522,456,0,0.8735632183908046
0232,Johann Adolph Hasse,583,226,52,0.3876500857632933
0233,Davide Perez,350,223,0,0.6371428571428571
0235,Davide Perez,445,328,0,0.7370786516853932
0236,Davide Perez,369,258,0,0.6991869918699187
0239,Davide Perez,454,321,1,0.7070484581497798
0241,Davide Perez,948,647,7,0.6824894514767933
0244,Davide Perez,890,706,0,0.7932584269662921
0245,Davide Perez,480,480,0,1.0
0247,Davide Perez,553,518,6,0.9367088607594937
0249,Davide Perez,319,198,4,0.6206896551724138
0250,Davide Perez,304,267,11,0.8782894736842105
